sample_identifier,group_identifier,true_label,probability,predicted_label,error_type,distance_from_threshold,source_representation
test_index_59,not_available_in_prediction_export,0,0.5349345207214355,1,FP,0.019934520721435645,images
test_index_60,not_available_in_prediction_export,0,0.5646198391914368,1,FP,0.049619839191436865,images
test_index_61,not_available_in_prediction_export,0,0.5007274746894836,0,TN,0.01427252531051626,images
test_index_62,not_available_in_prediction_export,0,0.513088047504425,0,TN,0.0019119524955748535,images
test_index_63,not_available_in_prediction_export,0,0.5237897634506226,1,FP,0.008789763450622656,images
test_index_64,not_available_in_prediction_export,0,0.43680429458618164,0,TN,0.07819570541381826,images
test_index_65,not_available_in_prediction_export,0,0.4450041949748993,0,TN,0.06999580502510061,images
test_index_66,not_available_in_prediction_export,0,0.4410203695297241,0,TN,0.07397963047027578,images
test_index_67,not_available_in_prediction_export,0,0.5482515096664429,1,FP,0.03325150966644297,images
test_index_68,not_available_in_prediction_export,0,0.44795554876327515,0,TN,0.06704445123672476,images
test_index_69,not_available_in_prediction_export,0,0.4604603350162506,0,TN,0.05453966498374929,images
test_index_70,not_available_in_prediction_export,0,0.3352733254432678,0,TN,0.17972667455673208,images
test_index_71,not_available_in_prediction_export,0,0.47850069403648376,0,TN,0.03649930596351614,images
test_index_72,not_available_in_prediction_export,0,0.47879651188850403,0,TN,0.036203488111495874,images
test_index_73,not_available_in_prediction_export,0,0.48862358927726746,0,TN,0.026376410722732446,images
test_index_74,not_available_in_prediction_export,0,0.48226359486579895,0,TN,0.03273640513420095,images
test_index_75,not_available_in_prediction_export,0,0.38539552688598633,0,TN,0.12960447311401357,images
test_index_76,not_available_in_prediction_export,0,0.5143828988075256,0,TN,0.0006171011924742675,images
test_index_77,not_available_in_prediction_export,0,0.3935447037220001,0,TN,0.12145529627799978,images
test_index_78,not_available_in_prediction_export,0,0.4568730592727661,0,TN,0.05812694072723379,images
test_index_79,not_available_in_prediction_export,0,0.5276417136192322,1,FP,0.012641713619232275,images
test_index_80,not_available_in_prediction_export,0,0.4766499400138855,0,TN,0.038350059986114404,images
test_index_81,not_available_in_prediction_export,0,0.5463407635688782,1,FP,0.03134076356887827,images
test_index_82,not_available_in_prediction_export,0,0.39937660098075867,0,TN,0.11562339901924124,images
test_index_83,not_available_in_prediction_export,0,0.43646013736724854,0,TN,0.07853986263275137,images
test_index_84,not_available_in_prediction_export,0,0.41810518503189087,0,TN,0.09689481496810903,images
test_index_85,not_available_in_prediction_export,0,0.5623358488082886,1,FP,0.04733584880828867,images
test_index_86,not_available_in_prediction_export,0,0.4202938675880432,0,TN,0.09470613241195669,images
test_index_87,not_available_in_prediction_export,0,0.5024064779281616,0,TN,0.012593522071838281,images
test_index_88,not_available_in_prediction_export,0,0.4430093765258789,0,TN,0.071990623474121,images
test_index_89,not_available_in_prediction_export,0,0.47002777457237244,0,TN,0.044972225427627466,images
test_index_90,not_available_in_prediction_export,0,0.46812334656715393,0,TN,0.04687665343284597,images
test_index_91,not_available_in_prediction_export,0,0.40427038073539734,0,TN,0.11072961926460256,images
test_index_92,not_available_in_prediction_export,0,0.5102574229240417,0,TN,0.004742577075958154,images
test_index_93,not_available_in_prediction_export,0,0.5201022624969482,1,FP,0.00510226249694834,images
test_index_94,not_available_in_prediction_export,0,0.408276230096817,0,TN,0.10672376990318289,images
test_index_95,not_available_in_prediction_export,0,0.5018414258956909,0,TN,0.013158574104308984,images
test_index_96,not_available_in_prediction_export,0,0.553833544254303,1,FP,0.038833544254303076,images
test_index_97,not_available_in_prediction_export,0,0.4199639856815338,0,TN,0.09503601431846609,images
test_index_98,not_available_in_prediction_export,0,0.4387088418006897,0,TN,0.0762911581993102,images
test_index_99,not_available_in_prediction_export,0,0.40615957975387573,0,TN,0.10884042024612417,images
test_index_100,not_available_in_prediction_export,0,0.6000372767448425,1,FP,0.08503727674484263,images
test_index_101,not_available_in_prediction_export,0,0.5454127788543701,1,FP,0.030412778854370215,images
test_index_102,not_available_in_prediction_export,0,0.46559154987335205,0,TN,0.04940845012664785,images
test_index_103,not_available_in_prediction_export,0,0.5677565932273865,1,FP,0.05275659322738657,images
test_index_104,not_available_in_prediction_export,0,0.27774491906166077,0,TN,0.23725508093833914,images
test_index_105,not_available_in_prediction_export,0,0.49214187264442444,0,TN,0.022858127355575464,images
test_index_106,not_available_in_prediction_export,0,0.446824848651886,0,TN,0.06817515134811392,images
test_index_107,not_available_in_prediction_export,0,0.5317487120628357,1,FP,0.01674871206283579,images
test_index_108,not_available_in_prediction_export,0,0.4343068599700928,0,TN,0.08069314002990713,images
test_index_109,not_available_in_prediction_export,0,0.4444291889667511,0,TN,0.0705708110332488,images
test_index_110,not_available_in_prediction_export,0,0.5137060284614563,0,TN,0.0012939715385436035,images
test_index_111,not_available_in_prediction_export,0,0.4990914463996887,0,TN,0.01590855360031118,images
test_index_112,not_available_in_prediction_export,0,0.4066007733345032,0,TN,0.10839922666549673,images
test_index_113,not_available_in_prediction_export,0,0.45469751954078674,0,TN,0.06030248045921316,images
test_index_114,not_available_in_prediction_export,0,0.49635595083236694,0,TN,0.01864404916763296,images
test_index_115,not_available_in_prediction_export,0,0.5414239168167114,1,FP,0.026423916816711523,images
test_index_116,not_available_in_prediction_export,0,0.5843353867530823,1,FP,0.06933538675308237,images
test_index_117,not_available_in_prediction_export,0,0.4471994638442993,0,TN,0.06780053615570059,images
test_index_118,not_available_in_prediction_export,0,0.42191052436828613,0,TN,0.09308947563171377,images
test_index_119,not_available_in_prediction_export,0,0.438917875289917,0,TN,0.07608212471008291,images
test_index_120,not_available_in_prediction_export,0,0.24531865119934082,0,TN,0.2696813488006591,images
test_index_121,not_available_in_prediction_export,0,0.413815975189209,0,TN,0.10118402481079092,images
test_index_122,not_available_in_prediction_export,0,0.541078507900238,1,FP,0.026078507900238135,images
test_index_123,not_available_in_prediction_export,0,0.4226173758506775,0,TN,0.09238262414932241,images
test_index_124,not_available_in_prediction_export,0,0.376689612865448,0,TN,0.1383103871345519,images
test_index_125,not_available_in_prediction_export,0,0.43576619029045105,0,TN,0.07923380970954885,images
test_index_126,not_available_in_prediction_export,0,0.45737072825431824,0,TN,0.057629271745681665,images
test_index_127,not_available_in_prediction_export,0,0.6007521152496338,1,FP,0.08575211524963389,images
test_index_128,not_available_in_prediction_export,0,0.5368108153343201,1,FP,0.021810815334320166,images
test_index_129,not_available_in_prediction_export,0,0.5993662476539612,1,FP,0.08436624765396128,images
test_index_130,not_available_in_prediction_export,0,0.5360897779464722,1,FP,0.021089777946472266,images
test_index_131,not_available_in_prediction_export,0,0.43085965514183044,0,TN,0.08414034485816946,images
test_index_132,not_available_in_prediction_export,0,0.5381404757499695,1,FP,0.02314047574996958,images
test_index_133,not_available_in_prediction_export,0,0.622351884841919,1,FP,0.10735188484191904,images
test_index_134,not_available_in_prediction_export,0,0.49619150161743164,0,TN,0.01880849838256826,images
test_index_135,not_available_in_prediction_export,0,0.5337650775909424,1,FP,0.01876507759094248,images
test_index_136,not_available_in_prediction_export,0,0.4240570068359375,0,TN,0.0909429931640624,images
test_index_137,not_available_in_prediction_export,0,0.44968241453170776,0,TN,0.06531758546829214,images
test_index_138,not_available_in_prediction_export,0,0.5600489377975464,1,FP,0.045048937797546484,images
test_index_139,not_available_in_prediction_export,0,0.5785636305809021,1,FP,0.0635636305809022,images
test_index_140,not_available_in_prediction_export,0,0.42170587182044983,0,TN,0.09329412817955007,images
test_index_141,not_available_in_prediction_export,0,0.5430460572242737,1,FP,0.02804605722427378,images
test_index_142,not_available_in_prediction_export,0,0.49707967042922974,0,TN,0.017920329570770166,images
test_index_143,not_available_in_prediction_export,0,0.5457112789154053,1,FP,0.03071127891540537,images
test_index_144,not_available_in_prediction_export,0,0.5308434367179871,1,FP,0.015843436717987158,images
test_index_145,not_available_in_prediction_export,0,0.518298864364624,1,FP,0.003298864364624121,images
test_index_146,not_available_in_prediction_export,0,0.51680588722229,1,FP,0.0018058872222901368,images
test_index_147,not_available_in_prediction_export,0,0.465530663728714,0,TN,0.04946933627128591,images
test_index_148,not_available_in_prediction_export,0,0.502082884311676,0,TN,0.012917115688323877,images
test_index_149,not_available_in_prediction_export,0,0.6486431360244751,1,FP,0.1336431360244752,images
test_index_150,not_available_in_prediction_export,0,0.4879736602306366,0,TN,0.027026339769363306,images
test_index_151,not_available_in_prediction_export,0,0.5484618544578552,1,FP,0.03346185445785532,images
test_index_152,not_available_in_prediction_export,0,0.5225754380226135,1,FP,0.007575438022613623,images
test_index_153,not_available_in_prediction_export,0,0.5464242696762085,1,FP,0.031424269676208594,images
test_index_154,not_available_in_prediction_export,0,0.5463196039199829,1,FP,0.03131960391998301,images
test_index_155,not_available_in_prediction_export,0,0.4984053075313568,0,TN,0.01659469246864309,images
test_index_156,not_available_in_prediction_export,0,0.47606727480888367,0,TN,0.038932725191116235,images
test_index_157,not_available_in_prediction_export,0,0.5400437116622925,1,FP,0.025043711662292578,images
test_index_158,not_available_in_prediction_export,0,0.4689761996269226,0,TN,0.046023800373077295,images
test_index_159,not_available_in_prediction_export,0,0.43130460381507874,0,TN,0.08369539618492117,images
test_index_160,not_available_in_prediction_export,0,0.4108634293079376,0,TN,0.10413657069206228,images
test_index_161,not_available_in_prediction_export,0,0.49809545278549194,0,TN,0.01690454721450796,images
test_index_162,not_available_in_prediction_export,0,0.49961966276168823,0,TN,0.01538033723831167,images
test_index_163,not_available_in_prediction_export,0,0.5335409045219421,1,FP,0.018540904521942236,images
test_index_164,not_available_in_prediction_export,0,0.5123110413551331,0,TN,0.0026889586448668457,images
test_index_165,not_available_in_prediction_export,0,0.43924224376678467,0,TN,0.07575775623321523,images
test_index_166,not_available_in_prediction_export,0,0.542104959487915,1,FP,0.027104959487915137,images
test_index_167,not_available_in_prediction_export,0,0.48439860343933105,0,TN,0.030601396560668848,images
test_index_168,not_available_in_prediction_export,0,0.45191872119903564,0,TN,0.06308127880096426,images
test_index_169,not_available_in_prediction_export,0,0.5743284225463867,1,FP,0.059328422546386816,images
test_index_170,not_available_in_prediction_export,0,0.44491028785705566,0,TN,0.07008971214294424,images
test_index_171,not_available_in_prediction_export,0,0.5223535299301147,1,FP,0.007353529930114844,images
test_index_172,not_available_in_prediction_export,0,0.5034411549568176,0,TN,0.011558845043182275,images
test_index_173,not_available_in_prediction_export,0,0.529028058052063,1,FP,0.014028058052063086,images
test_index_174,not_available_in_prediction_export,0,0.538986086845398,1,FP,0.023986086845398047,images
test_index_175,not_available_in_prediction_export,0,0.5645903944969177,1,FP,0.04959039449691782,images
test_index_176,not_available_in_prediction_export,0,0.5596370100975037,1,FP,0.04463701009750376,images
test_index_177,not_available_in_prediction_export,0,0.48367488384246826,0,TN,0.03132511615753164,images
test_index_178,not_available_in_prediction_export,0,0.39250999689102173,0,TN,0.12249000310897817,images
test_index_179,not_available_in_prediction_export,0,0.5096645951271057,0,TN,0.005335404872894189,images
test_index_180,not_available_in_prediction_export,0,0.517406702041626,1,FP,0.0024067020416260743,images
test_index_181,not_available_in_prediction_export,0,0.5321220755577087,1,FP,0.017122075557708838,images
test_index_182,not_available_in_prediction_export,0,0.5152279138565063,1,FP,0.00022791385650644536,images
test_index_183,not_available_in_prediction_export,0,0.5458913445472717,1,FP,0.030891344547271826,images
test_index_184,not_available_in_prediction_export,0,0.45532241463661194,0,TN,0.059677585363387964,images
test_index_185,not_available_in_prediction_export,0,0.4419255554676056,0,TN,0.07307444453239431,images
test_index_186,not_available_in_prediction_export,0,0.4375344514846802,0,TN,0.07746554851531973,images
test_index_187,not_available_in_prediction_export,0,0.5370648503303528,1,FP,0.02206485033035288,images
test_index_188,not_available_in_prediction_export,0,0.547980010509491,1,FP,0.032980010509491064,images
test_index_189,not_available_in_prediction_export,0,0.49005255103111267,0,TN,0.02494744896888723,images
test_index_190,not_available_in_prediction_export,0,0.5447179079055786,1,FP,0.02971790790557871,images
test_index_191,not_available_in_prediction_export,0,0.427938312292099,0,TN,0.0870616877079009,images
test_index_192,not_available_in_prediction_export,0,0.4078809320926666,0,TN,0.10711906790733328,images
test_index_193,not_available_in_prediction_export,0,0.47616851329803467,0,TN,0.038831486701965234,images
test_index_194,not_available_in_prediction_export,0,0.5674448013305664,1,FP,0.052444801330566504,images
test_index_195,not_available_in_prediction_export,0,0.5250117778778076,1,FP,0.010011777877807715,images
test_index_196,not_available_in_prediction_export,0,0.5286564230918884,1,FP,0.013656423091888525,images
test_index_197,not_available_in_prediction_export,0,0.5357785820960999,1,FP,0.02077858209609995,images
test_index_198,not_available_in_prediction_export,0,0.5377119183540344,1,FP,0.02271191835403452,images
test_index_199,not_available_in_prediction_export,0,0.41725748777389526,0,TN,0.09774251222610464,images
test_index_200,not_available_in_prediction_export,0,0.45491424202919006,0,TN,0.06008575797080984,images
test_index_201,not_available_in_prediction_export,0,0.4386709928512573,0,TN,0.07632900714874258,images
test_index_202,not_available_in_prediction_export,0,0.5433778762817383,1,FP,0.02837787628173838,images
test_index_203,not_available_in_prediction_export,0,0.4874815046787262,0,TN,0.027518495321273706,images
test_index_204,not_available_in_prediction_export,0,0.459330290555954,0,TN,0.05566970944404592,images
test_index_205,not_available_in_prediction_export,0,0.4500932991504669,0,TN,0.06490670084953298,images
test_index_206,not_available_in_prediction_export,0,0.31543058156967163,0,TN,0.19956941843032827,images
test_index_207,not_available_in_prediction_export,0,0.45066964626312256,0,TN,0.06433035373687734,images
test_index_208,not_available_in_prediction_export,0,0.6039381623268127,1,FP,0.08893816232681284,images
test_index_209,not_available_in_prediction_export,0,0.4470628798007965,0,TN,0.0679371201992034,images
test_index_210,not_available_in_prediction_export,0,0.46005484461784363,0,TN,0.054945155382156274,images
test_index_211,not_available_in_prediction_export,0,0.5667442083358765,1,FP,0.05174420833587656,images
test_index_212,not_available_in_prediction_export,0,0.6292752027511597,1,FP,0.11427520275115977,images
test_index_213,not_available_in_prediction_export,0,0.476342111825943,0,TN,0.03865788817405691,images
test_index_214,not_available_in_prediction_export,0,0.4304044246673584,0,TN,0.0845955753326415,images
test_index_215,not_available_in_prediction_export,0,0.4455832839012146,0,TN,0.0694167160987853,images
test_index_216,not_available_in_prediction_export,0,0.625383198261261,1,FP,0.11038319826126108,images
test_index_217,not_available_in_prediction_export,0,0.5557008981704712,1,FP,0.04070089817047129,images
test_index_218,not_available_in_prediction_export,0,0.4202561676502228,0,TN,0.09474383234977712,images
test_index_219,not_available_in_prediction_export,0,0.4942083954811096,0,TN,0.020791604518890283,images
test_index_220,not_available_in_prediction_export,0,0.5189054608345032,1,FP,0.0039054608345032715,images
test_index_221,not_available_in_prediction_export,0,0.42159661650657654,0,TN,0.09340338349342336,images
test_index_222,not_available_in_prediction_export,0,0.353130966424942,0,TN,0.16186903357505789,images
test_index_223,not_available_in_prediction_export,0,0.42409002780914307,0,TN,0.09090997219085684,images
test_index_224,not_available_in_prediction_export,1,0.43186432123184204,0,FN,0.08313567876815786,images
test_index_225,not_available_in_prediction_export,1,0.5980187654495239,1,TP,0.08301876544952402,images
test_index_226,not_available_in_prediction_export,1,0.4507903456687927,0,FN,0.06420965433120718,images
test_index_227,not_available_in_prediction_export,1,0.448798805475235,0,FN,0.06620119452476492,images
test_index_228,not_available_in_prediction_export,1,0.4955853223800659,0,FN,0.019414677619933984,images
test_index_229,not_available_in_prediction_export,1,0.4675202965736389,0,FN,0.047479703426360986,images
test_index_230,not_available_in_prediction_export,1,0.5694184303283691,1,TP,0.05441843032836924,images
test_index_231,not_available_in_prediction_export,1,0.5052220821380615,0,FN,0.009777917861938379,images
test_index_232,not_available_in_prediction_export,1,0.5202698707580566,1,TP,0.005269870758056738,images
test_index_233,not_available_in_prediction_export,1,0.4927524924278259,0,FN,0.022247507572173975,images
test_index_234,not_available_in_prediction_export,1,0.5134698152542114,0,FN,0.0015301847457884765,images
test_index_235,not_available_in_prediction_export,1,0.42117708921432495,0,FN,0.09382291078567495,images
test_index_236,not_available_in_prediction_export,1,0.4754331707954407,0,FN,0.03956682920455923,images
test_index_237,not_available_in_prediction_export,1,0.5678185820579529,1,TP,0.05281858205795298,images
test_index_238,not_available_in_prediction_export,1,0.5452404618263245,1,TP,0.03024046182632456,images
test_index_239,not_available_in_prediction_export,1,0.5411232113838196,1,TP,0.026123211383819678,images
test_index_240,not_available_in_prediction_export,1,0.6252424716949463,1,TP,0.11024247169494639,images
test_index_241,not_available_in_prediction_export,1,0.44500845670700073,0,FN,0.06999154329299917,images
test_index_242,not_available_in_prediction_export,1,0.5143942832946777,0,FN,0.0006057167053221679,images
test_index_243,not_available_in_prediction_export,1,0.5877981185913086,1,TP,0.07279811859130869,images
test_index_244,not_available_in_prediction_export,1,0.4603672921657562,0,FN,0.05463270783424368,images
test_index_245,not_available_in_prediction_export,1,0.5813179612159729,1,TP,0.066317961215973,images
test_index_246,not_available_in_prediction_export,1,0.5753121972084045,1,TP,0.06031219720840464,images
test_index_247,not_available_in_prediction_export,1,0.5336617231369019,1,TP,0.018661723136901953,images
test_index_248,not_available_in_prediction_export,1,0.48464927077293396,0,FN,0.030350729227065942,images
test_index_249,not_available_in_prediction_export,1,0.48876675963401794,0,FN,0.026233240365981958,images
test_index_250,not_available_in_prediction_export,1,0.5496235489845276,1,TP,0.034623548984527686,images
test_index_251,not_available_in_prediction_export,1,0.5637179613113403,1,TP,0.04871796131134043,images
test_index_252,not_available_in_prediction_export,1,0.6260606050491333,1,TP,0.1110606050491334,images
test_index_253,not_available_in_prediction_export,1,0.5799307823181152,1,TP,0.06493078231811533,images
test_index_254,not_available_in_prediction_export,1,0.5606091618537903,1,TP,0.04560916185379038,images
test_index_255,not_available_in_prediction_export,1,0.5209597945213318,1,TP,0.005959794521331885,images
test_index_256,not_available_in_prediction_export,1,0.6228945255279541,1,TP,0.1078945255279542,images
test_index_257,not_available_in_prediction_export,1,0.5771335959434509,1,TP,0.062133595943451025,images
test_index_258,not_available_in_prediction_export,1,0.6137077808380127,1,TP,0.09870778083801279,images
test_index_259,not_available_in_prediction_export,1,0.5899725556373596,1,TP,0.07497255563735972,images
test_index_260,not_available_in_prediction_export,1,0.555358350276947,1,TP,0.04035835027694712,images
test_index_261,not_available_in_prediction_export,1,0.5086369514465332,0,FN,0.006363048553466699,images
test_index_262,not_available_in_prediction_export,1,0.5460275411605835,1,TP,0.031027541160583594,images
test_index_263,not_available_in_prediction_export,1,0.5446920990943909,1,TP,0.029692099094390967,images
test_index_264,not_available_in_prediction_export,1,0.5367982983589172,1,TP,0.021798298358917334,images
test_index_265,not_available_in_prediction_export,1,0.5430805087089539,1,TP,0.028080508708953955,images
test_index_266,not_available_in_prediction_export,1,0.6014452576637268,1,TP,0.0864452576637269,images
test_index_267,not_available_in_prediction_export,1,0.5768422484397888,1,TP,0.061842248439788916,images
test_index_268,not_available_in_prediction_export,1,0.5900393724441528,1,TP,0.07503937244415293,images
test_index_269,not_available_in_prediction_export,1,0.5827083587646484,1,TP,0.06770835876464854,images
test_index_270,not_available_in_prediction_export,1,0.5491306781768799,1,TP,0.03413067817687998,images
test_index_271,not_available_in_prediction_export,1,0.5856785774230957,1,TP,0.0706785774230958,images
test_index_272,not_available_in_prediction_export,1,0.35072991251945496,0,FN,0.16427008748054495,images
test_index_273,not_available_in_prediction_export,1,0.41487082839012146,0,FN,0.10012917160987844,images
test_index_274,not_available_in_prediction_export,1,0.5036656260490417,0,FN,0.011334373950958154,images
test_index_275,not_available_in_prediction_export,1,0.6577365398406982,1,TP,0.14273653984069834,images
test_index_276,not_available_in_prediction_export,1,0.5222482085227966,1,TP,0.0072482085227967286,images
test_index_277,not_available_in_prediction_export,1,0.4938167631626129,0,FN,0.021183236837386987,images
test_index_278,not_available_in_prediction_export,1,0.48507604002952576,0,FN,0.029923959970474145,images
test_index_279,not_available_in_prediction_export,1,0.5100568532943726,0,FN,0.004943146705627344,images
test_index_280,not_available_in_prediction_export,1,0.5780319571495056,1,TP,0.06303195714950571,images
test_index_281,not_available_in_prediction_export,1,0.5871363878250122,1,TP,0.0721363878250123,images
test_index_282,not_available_in_prediction_export,1,0.5840770602226257,1,TP,0.06907706022262583,images
test_index_283,not_available_in_prediction_export,1,0.5339597463607788,1,TP,0.018959746360778906,images
test_index_284,not_available_in_prediction_export,1,0.5961796045303345,1,TP,0.08117960453033457,images
test_index_285,not_available_in_prediction_export,1,0.5271050333976746,1,TP,0.012105033397674658,images
test_index_286,not_available_in_prediction_export,1,0.4671751856803894,0,FN,0.0478248143196105,images
test_index_287,not_available_in_prediction_export,1,0.5643662810325623,1,TP,0.049366281032562354,images
test_index_288,not_available_in_prediction_export,1,0.5505566596984863,1,TP,0.035556659698486426,images
test_index_289,not_available_in_prediction_export,1,0.4657478928565979,0,FN,0.049252107143402,images
test_index_290,not_available_in_prediction_export,1,0.5984320640563965,1,TP,0.08343206405639658,images
test_index_291,not_available_in_prediction_export,1,0.5675297975540161,1,TP,0.05252979755401621,images
test_index_292,not_available_in_prediction_export,1,0.7310085892677307,1,TP,0.2160085892677308,images
test_index_293,not_available_in_prediction_export,1,0.6234541535377502,1,TP,0.10845415353775034,images
test_index_294,not_available_in_prediction_export,1,0.5331736207008362,1,TP,0.01817362070083628,images
test_index_295,not_available_in_prediction_export,1,0.5429672598838806,1,TP,0.027967259883880713,images
test_index_296,not_available_in_prediction_export,1,0.4444562494754791,0,FN,0.07054375052452078,images
test_index_297,not_available_in_prediction_export,1,0.4885188043117523,0,FN,0.026481195688247583,images
test_index_298,not_available_in_prediction_export,1,0.5165119171142578,1,TP,0.0015119171142579102,images
test_index_299,not_available_in_prediction_export,1,0.46421530842781067,0,FN,0.05078469157218923,images
test_index_300,not_available_in_prediction_export,1,0.43769973516464233,0,FN,0.07730026483535757,images
test_index_301,not_available_in_prediction_export,1,0.47424232959747314,0,FN,0.04075767040252676,images
test_index_302,not_available_in_prediction_export,1,0.4896911382675171,0,FN,0.025308861732482812,images
test_index_303,not_available_in_prediction_export,1,0.39832669496536255,0,FN,0.11667330503463735,images
test_index_304,not_available_in_prediction_export,1,0.5396777391433716,1,TP,0.02467773914337168,images
test_index_305,not_available_in_prediction_export,1,0.4969708323478699,0,FN,0.01802916765213003,images
test_index_306,not_available_in_prediction_export,1,0.5445014834403992,1,TP,0.029501483440399268,images
test_index_307,not_available_in_prediction_export,1,0.47862720489501953,0,FN,0.03637279510498037,images
test_index_308,not_available_in_prediction_export,1,0.5886480212211609,1,TP,0.07364802122116099,images
