model,sample_index,true_label,raw_probability,probability,prediction,threshold,outcome_type,confidence_distance_from_threshold
Logistic Regression,553,0,5.7170008090828e-05,5.7170008090828e-05,0,0.36,TN,0.3599428299919092
Logistic Regression,346,0,0.0027968856583734415,0.0027968856583734415,0,0.36,TN,0.35720311434162655
Logistic Regression,428,0,3.7094918593807466e-05,3.7094918593807466e-05,0,0.36,TN,0.35996290508140616
Logistic Regression,456,0,0.3041758167402993,0.3041758167402993,0,0.36,TN,0.05582418325970068
Logistic Regression,533,1,0.9999858876524963,0.9999858876524963,1,0.36,TP,0.6399858876524963
Logistic Regression,190,1,0.2761291949884771,0.2761291949884771,0,0.36,FN,0.08387080501152289
Logistic Regression,487,1,0.9999988693484049,0.9999988693484049,1,0.36,TP,0.6399988693484049
Logistic Regression,349,0,0.000191378236322243,0.000191378236322243,0,0.36,TN,0.3598086217636777
Logistic Regression,393,1,0.9999999886540195,0.9999999886540195,1,0.36,TP,0.6399999886540195
Logistic Regression,71,0,3.4094438718851334e-08,3.4094438718851334e-08,0,0.36,TN,0.35999996590556127
Logistic Regression,128,0,0.1208514798185824,0.1208514798185824,0,0.36,TN,0.23914852018141758
Logistic Regression,125,0,0.0028073905968012077,0.0028073905968012077,0,0.36,TN,0.3571926094031988
Logistic Regression,440,0,0.018392284967567278,0.018392284967567278,0,0.36,TN,0.3416077150324327
Logistic Regression,383,0,0.0031155153837397515,0.0031155153837397515,0,0.36,TN,0.3568844846162602
Logistic Regression,447,0,0.08508723135892805,0.08508723135892805,0,0.36,TN,0.27491276864107195
Logistic Regression,329,1,0.891060914834688,0.891060914834688,1,0.36,TP,0.531060914834688
Logistic Regression,130,0,0.0006688877741711805,0.0006688877741711805,0,0.36,TN,0.3593311122258288
Logistic Regression,308,0,8.704410209554677e-05,8.704410209554677e-05,0,0.36,TN,0.35991295589790445
Logistic Regression,556,0,1.9629302728619795e-05,1.9629302728619795e-05,0,0.36,TN,0.35998037069727135
Logistic Regression,348,0,0.0010109780364147807,0.0010109780364147807,0,0.36,TN,0.35898902196358523
Logistic Regression,123,0,0.03582050127589777,0.03582050127589777,0,0.36,TN,0.32417949872410223
Logistic Regression,216,0,0.014701649639196209,0.014701649639196209,0,0.36,TN,0.34529835036080375
Logistic Regression,325,0,0.002125246139272554,0.002125246139272554,0,0.36,TN,0.3578747538607274
Logistic Regression,20,0,0.00297987292691066,0.00297987292691066,0,0.36,TN,0.35702012707308933
Logistic Regression,282,1,0.9999935339395817,0.9999935339395817,1,0.36,TP,0.6399935339395817
Logistic Regression,560,0,0.28355433544518405,0.28355433544518405,0,0.36,TN,0.07644566455481594
Logistic Regression,503,1,0.999999999920347,0.999999999920347,1,0.36,TP,0.6399999999203471
Logistic Regression,381,0,0.00018963778427780873,0.00018963778427780873,0,0.36,TN,0.35981036221572216
Logistic Regression,534,0,0.0005703032084115934,0.0005703032084115934,0,0.36,TN,0.35942969679158837
Logistic Regression,448,0,0.1737370186760336,0.1737370186760336,0,0.36,TN,0.18626298132396638
Logistic Regression,205,1,0.558438791865536,0.558438791865536,1,0.36,TP,0.19843879186553603
Logistic Regression,75,1,0.9995212093085409,0.9995212093085409,1,0.36,TP,0.639521209308541
Random Forest,120,0,0.00363556115579132,0.008041092813311888,0,0.44,TN,0.4319589071866881
Random Forest,250,1,0.9983333333333333,0.9935112576409998,1,0.44,TP,0.5535112576409997
Random Forest,375,0,0.3243096513227758,0.16235150877274893,0,0.44,TN,0.2776484912272511
Random Forest,99,1,0.6559196650574376,0.8377660502962285,1,0.44,TP,0.3977660502962285
Random Forest,455,0,0.077838664015441,0.016616604964843844,0,0.44,TN,0.42338339503515615
Random Forest,318,0,0.11449023117641266,0.023711665752633615,0,0.44,TN,0.4162883342473664
Random Forest,39,1,0.6439558907698513,0.8210198969940984,1,0.44,TP,0.3810198969940984
Random Forest,371,0,0.1495674029007861,0.03322800472111797,0,0.44,TN,0.406771995278882
Random Forest,98,0,0.004485945214206084,0.008108515359367643,0,0.44,TN,0.4318914846406324
Random Forest,502,0,0.002733579086520263,0.007970186979706004,0,0.44,TN,0.432029813020294
Random Forest,479,1,0.9790646549152254,0.9921584030958901,1,0.44,TP,0.5521584030958901
Random Forest,60,0,0.01572379568907156,0.009053959343392178,0,0.44,TN,0.4309460406566078
Random Forest,280,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,420,0,0.0025757685988492996,0.007957845223711749,0,0.44,TN,0.43204215477628827
Random Forest,221,0,0.01513349637835912,0.009001683971430145,0,0.44,TN,0.43099831602856986
Random Forest,116,0,0.02473308768209666,0.009890146563419992,0,0.44,TN,0.43010985343658004
Random Forest,73,1,0.24311988167727216,0.07984063149548962,0,0.44,FN,0.36015936850451036
Random Forest,429,0,0.007859119813418036,0.008381524500369083,0,0.44,TN,0.4316184754996309
Random Forest,208,0,0.2241044604636313,0.06706058546745906,0,0.44,TN,0.3729394145325409
Random Forest,179,0,0.033148846547907326,0.010740115821884133,0,0.44,TN,0.4292598841781159
Random Forest,459,0,0.005085958102336763,0.008156424358068366,0,0.44,TN,0.43184357564193165
Random Forest,506,0,0.015770367645953947,0.009058096414213082,0,0.44,TN,0.43094190358578693
Random Forest,218,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,34,1,0.9916666666666667,0.9930716752934491,1,0.44,TP,0.553071675293449
Random Forest,86,1,0.3523428651081456,0.20369797289666092,0,0.44,FN,0.23630202710333909
Random Forest,222,0,0.0,0.007759063584909612,0,0.44,TN,0.43224093641509037
Random Forest,548,0,0.003089258539396553,0.007998072977134894,0,0.44,TN,0.4320019270228651
Random Forest,100,1,0.5671609699617551,0.6820256953216447,1,0.44,TP,0.2420256953216447
Random Forest,64,1,0.9468911346769712,0.9892491533039466,1,0.44,TP,0.5492491533039465
Random Forest,468,1,0.9841143339690155,0.9925378822915326,1,0.44,TP,0.5525378822915326
Random Forest,70,1,0.9993076923076923,0.9935731402041613,1,0.44,TP,0.5535731402041613
Random Forest,511,0,0.020699043314511518,0.009506674012149335,0,0.44,TN,0.4304933259878507
Random Forest,118,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,451,1,0.9834345093194139,0.9924878756214974,1,0.44,TP,0.5524878756214975
Random Forest,309,0,0.016509766749119546,0.009124030058728003,0,0.44,TN,0.430875969941272
Random Forest,169,0,0.06403812108771144,0.01452567788560775,0,0.44,TN,0.42547432211439223
Random Forest,74,0,0.0021721611721611717,0.00792636680503935,0,0.44,TN,0.43207363319496067
Random Forest,345,0,0.0007217847769028871,0.007814264214118339,0,0.44,TN,0.43218573578588165
Random Forest,22,1,0.902487061323749,0.9834130927564279,1,0.44,TP,0.5434130927564278
Random Forest,347,0,0.23400145415299106,0.0734559529842697,0,0.44,TN,0.3665440470157303
Random Forest,505,0,0.2047758386872707,0.056037065517460426,0,0.44,TN,0.3839629344825396
Random Forest,269,0,0.005187759583318453,0.008164580673018467,0,0.44,TN,0.43183541932698155
Random Forest,385,1,0.2884181844775522,0.1196112727223726,0,0.44,FN,0.3203887272776274
Random Forest,411,0,0.0,0.007759063584909612,0,0.44,TN,0.43224093641509037
Random Forest,111,0,0.09422091297758817,0.01948501319807321,0,0.44,TN,0.4205149868019268
Random Forest,7,1,0.8326388869203366,0.9674222010796156,1,0.44,TP,0.5274222010796157
Random Forest,554,0,0.07470321494781282,0.01611697906441596,0,0.44,TN,0.42388302093558405
Random Forest,196,1,0.8207053003548279,0.9634864863258692,1,0.44,TP,0.5234864863258692
Random Forest,568,0,0.005339083379522837,0.00817671965720021,0,0.44,TN,0.4318232803427998
Random Forest,529,0,0.0024678842795790266,0.007949418914754508,0,0.44,TN,0.4320505810852455
Random Forest,219,1,0.990202815158414,0.9929712613784746,1,0.44,TP,0.5529712613784745
Random Forest,83,1,0.9759919158189735,0.9919181830489451,1,0.44,TP,0.551918183048945
Random Forest,464,0,0.03225381135344101,0.010646389884036597,0,0.44,TN,0.4293536101159634
Random Forest,188,0,0.0034835266859941354,0.00802909751808448,0,0.44,TN,0.4319709024819155
Random Forest,139,0,0.021506276394779502,0.009582211738194613,0,0.44,TN,0.4304177882618054
Random Forest,207,1,0.7791692413765923,0.9459213402465453,1,0.44,TP,0.5059213402465452
Random Forest,410,0,0.054245366235312543,0.013201421720249282,0,0.44,TN,0.4267985782797507
Random Forest,314,0,0.011623741824191847,0.008696988352827194,0,0.44,TN,0.43130301164717283
Random Forest,387,0,0.008354333111527662,0.008422364765932935,0,0.44,TN,0.43157763523406706
Random Forest,563,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,483,0,0.03678285794691924,0.01112911721849163,0,0.44,TN,0.42887088278150837
Random Forest,154,0,0.07406901166004992,0.016017731804255645,0,0.44,TN,0.42398226819574436
Random Forest,14,1,0.8083858363237189,0.9589452870334354,1,0.44,TP,0.5189452870334355
Random Forest,296,0,0.00339001089001089,0.008021728077931254,0,0.44,TN,0.4319782719220687
Random Forest,528,0,0.15261090537227992,0.03420952860886305,0,0.44,TN,0.40579047139113694
Random Forest,362,0,0.0010512820512820513,0.007839592854607487,0,0.44,TN,0.4321604071453925
Random Forest,321,1,0.9010310703140728,0.9831763533469893,1,0.44,TP,0.5431763533469893
Random Forest,198,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,438,0,0.014235179351874126,0.008922704713236211,0,0.44,TN,0.4310772952867638
Random Forest,5,1,0.8023345228988935,0.9565211283775339,1,0.44,TP,0.516521128377534
Random Forest,294,0,0.005305033241727989,0.008173986642842633,0,0.44,TN,0.43182601335715737
Random Forest,162,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,4,1,0.9001115661276928,0.983025137236077,1,0.44,TP,0.543025137236077
Random Forest,522,0,0.0025309181258287173,0.007954341100246053,0,0.44,TN,0.43204565889975394
Random Forest,418,0,0.004750915750915751,0.008129637850888043,0,0.44,TN,0.43187036214911195
Random Forest,275,0,0.23813233851278728,0.07628798276080531,0,0.44,TN,0.36371201723919466
Random Forest,183,0,0.014316924444471753,0.008929863178937927,0,0.44,TN,0.4310701368210621
Random Forest,94,1,0.996400966183575,0.9933867745381615,1,0.44,TP,0.5533867745381615
Random Forest,245,0,0.010801404113360934,0.008627089289155296,0,0.44,TN,0.4313729107108447
Random Forest,277,1,0.8218601197310889,0.9638865188563391,1,0.44,TP,0.5238865188563391
Random Forest,177,1,0.996811507936508,0.9934134185827094,1,0.44,TP,0.5534134185827093
Random Forest,433,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,553,0,0.004909184513372589,0.008142280487379628,0,0.44,TN,0.43185771951262036
Random Forest,346,0,0.00687245795495205,0.008300738914759718,0,0.44,TN,0.43169926108524026
Random Forest,428,0,0.0,0.007759063584909612,0,0.44,TN,0.43224093641509037
Random Forest,456,0,0.07438989834213022,0.016067872390019215,0,0.44,TN,0.4239321276099808
Random Forest,533,1,0.9943094912465074,0.9932493674039554,1,0.44,TP,0.5532493674039554
Random Forest,190,1,0.8110299335780329,0.959963422778273,1,0.44,TP,0.519963422778273
Random Forest,487,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,349,0,0.008095238095238095,0.008400972636412967,0,0.44,TN,0.431599027363587
Random Forest,393,1,1.0,0.9936167527313267,1,0.44,TP,0.5536167527313267
Random Forest,71,0,0.01614419856916298,0.009091372420048201,0,0.44,TN,0.4309086275799518
Random Forest,128,0,0.476281195143694,0.46592737849935273,1,0.44,FP,0.025927378499352727
Random Forest,125,0,0.0013726461843409316,0.007864374750898066,0,0.44,TN,0.43213562524910193
Random Forest,440,0,0.1942098823101411,0.05075467166914215,0,0.44,TN,0.38924532833085784
Random Forest,383,0,0.02196480580979986,0.009625383529480835,0,0.44,TN,0.43037461647051917
Random Forest,447,0,0.09117283817244641,0.018916843026403035,0,0.44,TN,0.421083156973597
Random Forest,329,1,0.8245520574203606,0.96480269935008,1,0.44,TP,0.5248026993500801
Random Forest,130,0,0.0035734210001992423,0.008036187900380666,0,0.44,TN,0.4319638120996193
Random Forest,308,0,0.01296017605385219,0.00881178522526225,0,0.44,TN,0.43118821477473773
Random Forest,556,0,0.0032581133503642727,0.008011345397691542,0,0.44,TN,0.43198865460230845
Random Forest,348,0,0.002717948717948718,0.007968963741557178,0,0.44,TN,0.4320310362584428
Random Forest,123,0,0.1360631770341966,0.02919168891229649,0,0.44,TN,0.4108083110877035
Random Forest,216,0,0.008192468619246863,0.008408994133195116,0,0.44,TN,0.4315910058668049
Random Forest,325,0,0.0030983144076394864,0.007998784237736808,0,0.44,TN,0.4320012157622632
Random Forest,20,0,0.012510766974375025,0.008773015310693345,0,0.44,TN,0.43122698468930665
Random Forest,282,1,0.9993589743589744,0.9935763808895638,1,0.44,TP,0.5535763808895637
Random Forest,560,0,0.08484310475201787,0.017788383219564885,0,0.44,TN,0.4222116167804351
Random Forest,503,1,0.9956697658768799,0.9933390544225074,1,0.44,TP,0.5533390544225074
Random Forest,381,0,0.0,0.007759063584909612,0,0.44,TN,0.43224093641509037
Random Forest,534,0,0.010939747242244361,0.008638809429891914,0,0.44,TN,0.4313611905701081
Random Forest,448,0,0.14547855288595676,0.03195208128174238,0,0.44,TN,0.40804791871825763
Random Forest,205,1,0.6145842966694424,0.7742610389296435,1,0.44,TP,0.3342610389296435
Random Forest,75,1,0.9912179620693302,0.993041048437003,1,0.44,TP,0.553041048437003
XGBoost,120,0,0.0014316904125735164,0.0014316904125735164,0,0.6,TN,0.5985683095874265
XGBoost,250,1,0.9990848302841187,0.9990848302841187,1,0.6,TP,0.3990848302841187
XGBoost,375,0,0.0749279111623764,0.0749279111623764,0,0.6,TN,0.5250720888376236
XGBoost,99,1,0.9803436994552612,0.9803436994552612,1,0.6,TP,0.38034369945526125
XGBoost,455,0,0.018680334091186523,0.018680334091186523,0,0.6,TN,0.5813196659088135
XGBoost,318,0,0.0025791653897613287,0.0025791653897613287,0,0.6,TN,0.5974208346102386
XGBoost,39,1,0.8288390040397644,0.8288390040397644,1,0.6,TP,0.22883900403976443
XGBoost,371,0,0.0009308627340942621,0.0009308627340942621,0,0.6,TN,0.5990691372659057
XGBoost,98,0,0.00022834158153273165,0.00022834158153273165,0,0.6,TN,0.5997716584184672
XGBoost,502,0,0.0003835812967736274,0.0003835812967736274,0,0.6,TN,0.5996164187032264
XGBoost,479,1,0.9938358664512634,0.9938358664512634,1,0.6,TP,0.39383586645126345
XGBoost,60,0,0.0017114654183387756,0.0017114654183387756,0,0.6,TN,0.5982885345816612
XGBoost,280,1,0.999688982963562,0.999688982963562,1,0.6,TP,0.39968898296356203
XGBoost,420,0,0.0020003218669444323,0.0020003218669444323,0,0.6,TN,0.5979996781330555
XGBoost,221,0,0.0012641376815736294,0.0012641376815736294,0,0.6,TN,0.5987358623184263
XGBoost,116,0,0.0002751542197074741,0.0002751542197074741,0,0.6,TN,0.5997248457802925
XGBoost,73,1,0.00428025471046567,0.00428025471046567,0,0.6,FN,0.5957197452895343
XGBoost,429,0,0.0011711334809660912,0.0011711334809660912,0,0.6,TN,0.5988288665190339
XGBoost,208,0,0.05855802819132805,0.05855802819132805,0,0.6,TN,0.5414419718086719
XGBoost,179,0,0.0017450765008106828,0.0017450765008106828,0,0.6,TN,0.5982549234991893
XGBoost,459,0,0.005544424522668123,0.005544424522668123,0,0.6,TN,0.5944555754773319
XGBoost,506,0,0.0014200621517375112,0.0014200621517375112,0,0.6,TN,0.5985799378482625
XGBoost,218,1,0.9994828701019287,0.9994828701019287,1,0.6,TP,0.39948287010192873
XGBoost,34,1,0.9989286065101624,0.9989286065101624,1,0.6,TP,0.3989286065101624
XGBoost,86,1,0.4941786825656891,0.4941786825656891,0,0.6,FN,0.10582131743431089
XGBoost,222,0,0.00045067418250255287,0.00045067418250255287,0,0.6,TN,0.5995493258174974
XGBoost,548,0,0.0015969885280355811,0.0015969885280355811,0,0.6,TN,0.5984030114719644
XGBoost,100,1,0.9306256771087646,0.9306256771087646,1,0.6,TP,0.33062567710876467
XGBoost,64,1,0.9994170665740967,0.9994170665740967,1,0.6,TP,0.3994170665740967
XGBoost,468,1,0.9989973902702332,0.9989973902702332,1,0.6,TP,0.3989973902702332
XGBoost,70,1,0.9987241625785828,0.9987241625785828,1,0.6,TP,0.3987241625785828
XGBoost,511,0,0.001618183683604002,0.001618183683604002,0,0.6,TN,0.598381816316396
XGBoost,118,1,0.9995762705802917,0.9995762705802917,1,0.6,TP,0.39957627058029177
XGBoost,451,1,0.9992738366127014,0.9992738366127014,1,0.6,TP,0.39927383661270144
XGBoost,309,0,0.001656483975239098,0.001656483975239098,0,0.6,TN,0.5983435160247609
XGBoost,169,0,0.0008591829100623727,0.0008591829100623727,0,0.6,TN,0.5991408170899376
XGBoost,74,0,0.0003521842008922249,0.0003521842008922249,0,0.6,TN,0.5996478157991078
XGBoost,345,0,0.0001788043009582907,0.0001788043009582907,0,0.6,TN,0.5998211956990417
XGBoost,22,1,0.9583815336227417,0.9583815336227417,1,0.6,TP,0.3583815336227417
XGBoost,347,0,0.005797472782433033,0.005797472782433033,0,0.6,TN,0.594202527217567
XGBoost,505,0,0.005500883795320988,0.005500883795320988,0,0.6,TN,0.594499116204679
XGBoost,269,0,0.0009863267187029123,0.0009863267187029123,0,0.6,TN,0.5990136732812971
XGBoost,385,1,0.24330411851406097,0.24330411851406097,0,0.6,FN,0.356695881485939
XGBoost,411,0,0.003199096769094467,0.003199096769094467,0,0.6,TN,0.5968009032309055
XGBoost,111,0,0.007782233413308859,0.007782233413308859,0,0.6,TN,0.5922177665866911
XGBoost,7,1,0.9985074400901794,0.9985074400901794,1,0.6,TP,0.39850744009017947
XGBoost,554,0,0.014262820594012737,0.014262820594012737,0,0.6,TN,0.5857371794059872
XGBoost,196,1,0.997270405292511,0.997270405292511,1,0.6,TP,0.397270405292511
XGBoost,568,0,0.007639302872121334,0.007639302872121334,0,0.6,TN,0.5923606971278786
XGBoost,529,0,0.0006364143919199705,0.0006364143919199705,0,0.6,TN,0.59936358560808
XGBoost,219,1,0.9987215399742126,0.9987215399742126,1,0.6,TP,0.39872153997421267
XGBoost,83,1,0.9988937973976135,0.9988937973976135,1,0.6,TP,0.39889379739761355
XGBoost,464,0,0.0010694534284994006,0.0010694534284994006,0,0.6,TN,0.5989305465715006
XGBoost,188,0,0.0068682353012263775,0.0068682353012263775,0,0.6,TN,0.5931317646987736
XGBoost,139,0,0.0004037710896227509,0.0004037710896227509,0,0.6,TN,0.5995962289103772
XGBoost,207,1,0.9058530926704407,0.9058530926704407,1,0.6,TP,0.3058530926704407
XGBoost,410,0,0.020221197977662086,0.020221197977662086,0,0.6,TN,0.5797788020223379
XGBoost,314,0,0.0010406377259641886,0.0010406377259641886,0,0.6,TN,0.5989593622740358
XGBoost,387,0,0.0006363934371620417,0.0006363934371620417,0,0.6,TN,0.5993636065628379
XGBoost,563,1,0.9995172023773193,0.9995172023773193,1,0.6,TP,0.39951720237731936
XGBoost,483,0,0.004860963672399521,0.004860963672399521,0,0.6,TN,0.5951390363276005
XGBoost,154,0,0.0020687899086624384,0.0020687899086624384,0,0.6,TN,0.5979312100913375
XGBoost,14,1,0.982093334197998,0.982093334197998,1,0.6,TP,0.38209333419799807
XGBoost,296,0,0.0004552208702079952,0.0004552208702079952,0,0.6,TN,0.599544779129792
XGBoost,528,0,0.02863205410540104,0.02863205410540104,0,0.6,TN,0.5713679458945989
XGBoost,362,0,0.0006137227755971253,0.0006137227755971253,0,0.6,TN,0.5993862772244029
XGBoost,321,1,0.9833844900131226,0.9833844900131226,1,0.6,TP,0.3833844900131226
XGBoost,198,1,0.9983624815940857,0.9983624815940857,1,0.6,TP,0.3983624815940857
